,,,,,,SOLUTION SCOPE,,,,,,USER EXPERIENCE DATA,,,,,,,,,,,,,,,,,,,,,BUSINESS IMPACT DATA,,,,,,,,,,,,,,,,,,,,,ADDITIONAL DATA,,,,,,,,,PORTFOLIO REVIEW,,,
PSE,Childcare Allowance," By reimbursing a portion of childcare costs, this program helps ensure that parents can access quality care services for their children while they work.",The child care program is a support program that helps employees to pay for school expenses for kids up to 71 months by receiving a monthly reimbursement (upon request).,YES,Mariana Cavinatti,3. Mature,All Nubankers,N/A,(3) Perform my role,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,,,285,285,0.15,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PSE,Annual Flu Vaccination,"Seasonal flu affects a big number of persons every year, nubanker included, leading to increment in absenteeism rates, presenteeism and low performance until complete recovery, besides possible complications and bigger costs with health insurance","The annual flu vaccination provided at no cost to employees is a preventive measure that enables the reduction of the number of flu cases, especially severe cases, by enhancing the body protection against the most circulating viruses of the season",NO,Vanessa Friede,3. Mature,All Nubankers,N/A,(3) Perform my role,N/A,N/A,Number of nubankers vaccinated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Google sheets,Manual,Low Effort,Low tracking frequency,Request info of vaccinated employees to vendors and input them into Google Sheets,Semiannualy,Health dashboard,Absenteeism rate caused by respiratory diseases,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"For MX and CO, sheets. For BR, Oracle",Manual,Medium Effort,Need of People Data to prioritize extraction,"for MX and CO we still don't have an easy way to get the reasons of absence from Oracle, so we have to input info manually in a Google Sheets",Monthly,Health Dashboard,N/A,,,,,150,150,0.08,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PSE,Nu Health Way,"Chronic diseases affects about ⅓ of adults in the world (according to WHO), and when these diseases are not properly treated they can lead to absenteeism, high cost of treatment and development of sequels, all of them reducing productivity and work life","The NuHealthWay is a complementary support for employees with chronic conditions that provides occupational health follow-up alongside external treatment by close contact with the employee, questions about adopted treatment and lifestyle and focused health guidance.",NO,Vanessa Friede,2. Growth,All Nubankers,All Nubankers,(3) Perform my role,N/A,N/A,Number of subscribed and eliglible employees,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Google sheets,Automated,,,,Monthly,Health dashboard,Medical leaves absenteeism,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Oracle,Automated,,,,Monthly,Health Dashboard,N/A,,,,,100,100,0.05,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PSE,Workplace Health Adaptations,"Poorly adjusted work conditions or organization might affect people with permanent or temporary disabilities, leading to worsening of their conditions or low performance","The Workplace Health Adaptations is the process that enables identifying the specific adjustments needed by employees with permanent or temporary disabilities and addressing them by prescribing the adaptations and sharing them with the needed stakeholders (leaders, REWS, IT, etc.)",NO,Vanessa Friede,2. Growth,All Nubankers,N/A,(3) Perform my role,(5) Interrupt and get back to work,N/A,Number of nubankers with prescribed adaptations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Google sheets,Manual,Low Effort,,Check employees that have prescribed adaptations in MX and CO and put manually into a google sheets,Monthly,N/A,Number of nubankers that received their adaptations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Google sheets,Manual,Medium Effort,,"We gather information from IT and REWS, sum with safety data and update a google sheets",Monthly,N/A,N/A,,,,240,700,940,0.49,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PSE,Health Weeks,"Limited awareness of preventive health and healthy habits affects Nubankers, leading to poor decision-making regarding habits, inefficient use of benefit resources, and suboptimal health outcomes.",The health weeks are events that enable us to focus on promoting health awareness by delivering reliable information in an engaging and dynamic manner.,YES,Vanessa Friede,3. Mature,All Nubankers,N/A,(3) Perform my role,N/A,N/A,Number of participantes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Google Forms,Manual,Medium Effort,Low tracking frequency,"Create a Google Forms, make the QR code available, extract data from Google Forms, stratify and analyse",On demand,N/A,Number of legal requirements covered,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,H&S week agenda,Manual,Low Effort,Low tracking frequency,Check legal requirements for each country and cross with H&S week agenda,Per Session Delivered,Health Dashboard,N/A,,,,,50,50,0.03,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PSE,PWD Process,"The lack of a supportive work environment affects Nubankers in their professional setting, leading to diminished opportunities for all employees to thrive.","The ""100-Day Playbook"" is a strategic guide that enables effective workplace adaptation for Nubankers with disabilities by providing structured follow-up and support during their first 100 days",NO,Vanessa Friede,1. Development,All Nubankers,N/A,(3) Perform my role,N/A,N/A,Number of nubankers that went through the playbook process,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Google sheets,Manual,Medium Effort,The way the data is collected today doesn't support automated extraction,"Manual inclusion of PwD in the control Sheets, manual inclusion of start and FUP dates, manual inclusion of finish date and status",On demand,N/A,PwD legal quota,5% of nubankers of the LE - BR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Oracle,Automated,,,,Monthly,Health Dashboard,N/A,,,,240,1000,1240,0.65,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PSE,Compensation Structures,"Ensures a proper framework in place to manage rewards, market-competitive, for talent attraction and retention while boosting for pay for performance and preventing pay disparities.","Salary ranges and variable targets by level, geography and function, for a structured, market competitive, and transparent approach to setting the right anchors for compensation management.",YES,Cristina Jimenez,3. Mature,People Manager - All,All Nubankers,(3) Perform my role,(1) Discover and apply for a position,N/A,Salary range adherence %,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Oracle,Manual,Low Effort,Low tracking frequency,A report is extracted monthly by the People Tech team and shared with Comp team. Comp team works in a Google sheets to see and work with the data.,Semiannualy,Oracle,Offer acceptance rate,85%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Greenhouse,Automated,,,,Monthly,Internal metrics deck,"Offer exceptions
Voluntary attrition rate
Retention cases",,,,,864,1280,0.67,TRUE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PSE,Variable Compensation,"Need to offer competitive compensation packages that incentivize performance, the right behaviors and long-term commitment, while keeping its costs sustainable funded by the level of performance delivered.","2 key products: (a) short-term incentives program in markets where applicable, with their own regulation; (b) a dynamic performance-based Long-Term Incentive program, with clear rules, and approved by the Board.",NO,Leonardo Garcia,3. Mature,All Nubankers,N/A,(3) Perform my role,(1) Discover and apply for a position,"Oracle (comp letters)
Etrade (trading management)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,,40,,,96,136,0.07,TRUE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PSE,Pay Equity Governance,"Nubank must ensure gender pay equity to comply with legislation and maintain fair compensation practices. Without a structured governance process, pay discrepancies can persist unnoticed, exposing the company to regulatory, financial, and reputational risk.","The Pay Equity Governance process ensures compliance with gender pay equity regulations and maintains fair pay practices. It consists of (1) bi-annual reporting of gender pay equity in Brazil, published publicly alongside government-issued reports, and (2) proactive governance during year-end compensation cycles, where pay adjustments are made when discrepancies are identified.",YES,Bryce Robinson,3. Mature,All Nubankers,N/A,(3) Perform my role,N/A,Nu website,% of required reports that are accurate and fully compliant by the regulatory deadline,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Government report via eSocial,Manual,,,,Semiannualy,N/A,Median women’s wage as a % of men’s wage (normalized for Chapter/Level/Tenure),100%,-,-,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PA tailored analysis,Manual,,,,Per Session Delivered,N/A,N/A,,80,,,80,160,0.08,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PSE,Compensation Cycles,Ensures timely and consistent compensation adjustments (merit/promotion) for recognition by performance and retention of talents.,2 compensation cycle: Year-End for Promotions and Merit; Mid-Year for Promotions.,NO,Leonardo Garcia,3. Mature,People Manager - All,N/A,(3) Perform my role,(4) Develop myself and grow,Oracle,"AskPeople tickets from managers requiring assistance for the cycle
",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ask People,Automated,,,,Per Session Delivered,Ask People Dashboard,Trend of voluntary leavers due to comp reason (base on exit interview) + Pay for Performance Index,100%,-,-,99%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Visier,Automated,,,,Per Session Delivered,Dashboard,N/A,,120,,324,960,1404,0.74,TRUE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PSE,Compensation Education,Have Nubankers knowledgeable about Nu compensation policies and our philosophy of pay for performance. Seek for more transparence to individuals potential earnings to enhance engagement and value for work appreciation.,"Educational and Awareness products to enhance Nubankers knowledge about compensation policies and practices. Includes training sessions on Nucleo, comprehensive letters with future total comp projections during comp cycles, and a self-service compensation tool ""MyComp"" (to be launched) to enhance employee awareness of their earnings and compensation transparency.",NO,Cristina Jimenez,3. Mature,All Nubankers,N/A,(3) Perform my role,N/A,"Nucleo / Visier: MyComp
On demand presentations",Track engagement rate on MyComp tool,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Visier,Automated,,,,Monthly,Internal metrics deck,Track Pay for performance results on the engagement survey,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Engagement survey,Manual,Low Effort,Low tracking frequency,Access the survey and collect the relevant data to populate the Internal metrics deck.,Per Session Delivered,Internal metrics deck,"# of retentions (off cycle cases), specially reactive",,,,,192,192,0.10,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PSE,Job Evaluation,Ensures accurate job level classifications for senior roles (M5+).,A systematic process to determine the relative worth of jobs within the organization thru a market methodology (Aon) for M5+ roles.,NO,Bryce Robinson,1. Development,All Nubankers,N/A,(3) Perform my role,(1) Discover and apply for a position,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,,,,120,160,280,0.15,TRUE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PSE,Offcycle Comp actions,"Our competitors might poach Nu's key talents (certain geo, function or level), off Comp cycles windows, due to a high offer/low supply talent market ratio, increasing the risk of losing Nu's talents or scarce skills thus losing business capabilities to execute our business strategy.","To mitigate an imminent non-desirable loss of key talents, we should assess their Total Comp package and, if needed, make it more attractive with a longer-term mechanism, which will create more friction for competitors to acquire them. As a solution we may decide to implement ad hoc Comp adjustments (usually a retention new grant and/or cash bonus) for regrettable losses. It can be reactively (when a competitor's offer is already placed) or proactively (by measuring the size/impact of the threat).",NO,Cristina Jimenez,3. Mature,People Manager - All,All Nubankers,(1) Discover and apply for a position,(6) Resign or get terminated,Jira,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,1-year retention ratio,90%,91%,-,-,-,-,-,TBC,-,-,-,-,-,Jira,Manual,,,,Quarterly,Sheets,,,,,40,60,100,0.05,FALSE,Adjusted,Adjusted,,
PSE,NWW In-Office Schedule,"The lack of coordination would make it impossible for complete BUs to be present at a Nubank office, impacting their ability to collaborate and innovate.","A coordinated schedule of in-office work weeks that indicate when each BU, along with its Nubankers, needs to be present at a specific Nubank office",NO,Felipe Palomaro,2. Growth,All Nubankers,,(3) Perform my role,(1) Discover and apply for a position,"Google Slides
Qualtrics
Slack",NPS,85%,73%,69%,61%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Qualtrics,Automated,,,,Monthly,Qualtrics,Policy Adoption,80%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LookerStudio,Automated,,,,Monthly,LookerStudio,"Voluntary Attendance
Engagement Pulse
Team Connection
Office Technology & Facilities",,76,,,2928,3004,1.58,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PSE,Kadence,"Addresses the need for efficient office space management, including desk booking and meeting room reservations.",A workspace management platform to optimize office space utilization and employee experience.,NO,Julia Borges,1. Development,All Nubankers,N/A,(3) Perform my role,N/A,Comeen / Kadence,Favorability Score,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Kadence platform,Automated,,,,Monthly,Looker Studio,User Adoption Rate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Kandece and Turnstile,Automated,,,,Monthly,LookerStudio,N/A,,,,,633,633,0.33,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PSE,Voll,"Streamlines corporate travel and mobility management by centralizing bookings, automating expense tracking, and ensuring policy compliance in one integrated platform.",An integrated travel platform and agency for booking flights and accommodations.,NO,Julia Borges,3. Mature,All Nubankers,N/A,(3) Perform my role,N/A,Voll,CSAT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Voll platform,Automated,,,,Monthly,N/A,Adherence to the Nubank's Travel policy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,API Voll / Looker,Manual,High Effort,Doesn't require People Data to extract data from a system but the lack of technical skills doesn't allow the automation,"i) Update your code to process and store the new fields.
ii) Adjust your database (if applicable) to include the new columns for these fields.",Monthly,Sheets ,N/A,0,0,0,0,2850,2850,1.50,TRUE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
Talent Acquistion,Brokering [Career Mobility],"Currently, the Talent Acquisition process for the Brokering initiative lacks detailed and historical data on recruitment and internal mobility. This results in a lack of visibility into key performance and reallocation metrics. Without systematized data, decisions are often based on perception rather than facts, which hinders our ability to assess and improve the effectiveness and efficiency of our talent management process."," A fast mechanism for reallocating Nubankers internally into new positions. Features centralized vacancy management, real-time Talent Acquisition alerts, AI-driven role matching, and an analytics dashboard for tracking transitions and trends.",NO,Shirley Aquino,3. Mature,P&C: PLT,All Nubankers,(3) Perform my role,N/A,"Confluence, Greenhouse","User Experience Metric: Net Promoter Score (NPS)
",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"HRBP, Greenhouse and visier",Automated,,,,Quarterly,NPS Survey on greenhouse,"Business Impact Metric: Reallocation Success Rate
",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Visier and HRBPs,Automated,,,,Per Session Delivered,Visier,business reorg ,,,322,,,322,0.17,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
Talent Acquistion,Xavier,"It addresses TA’s limited visibility into Oracle positions by providing a single interface to monitor their status. It improves efficiency by enabling the use of additional position statuses, distributing requisitions among recruiters, sourcers, and coordinators, registering comments, and accessing historical hire data. It also reduces manual errors by supplying data to auto-fill offer fields in Greenhouse.","A custom AppSheet app that integrates Oracle data with automation and tracking features, providing a centralized, intelligent interface to the TA team to manage requisitions, assign roles, check hot squads order, log updates, and feed some position attributes into Greenhouse.",NO,Rafael Silva,3. Mature,P&C: Talent,"People Manager - All, P&C: HRBP",(1) Discover and apply for a position,N/A,Xavier/AppSheets,Feedback from TA Users,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Oracle,Automated,,,,Daily,TA Monitoring,Occupancy Rate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P&C Monthly Report,Automated,,,,Weekly,N/A,N/A,,168,432,,,600,0.32,TRUE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
Talent Acquistion,Greenhouse,"Greenhouse manages and scales recruiting operations by centralizing applicant tracking, interview coordination, and candidate communication. It streamlines workflows for recruiters, hiring managers, and interviewers, ensuring consistency, compliance, data tracking, reporting, and a better candidate experience throughout the recruitment funnel.","Greenhouse is a recruiting platform that streamlines hiring with applicant tracking, interview scheduling, structured hiring plans, scorecards, automated workflows, offer management, DEI tools, CRM, onboarding, and analytics.",NO,Rafael Silva,3. Mature,P&C: Talent,People Manager - All,(1) Discover and apply for a position,N/A,Greenhouse,# active pipelines,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Greenhouse Platform,Automated,,,,Daily,TA Monitoring,New Hires,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Visier,Automated,,,,Daily,N/A,N/A,,,264,,,264,0.14,TRUE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
Talent Acquistion,Hot Squads,"Hot Squads ranks concurrent technical hiring requests by combining senior leadership (M-Team) BU prioritization with squad-level input from all GMs. It helps TA allocate effort to the most critical roles, align hiring with business needs, and set clear expectations with GMs.","A solution that combines prioritization inputs from M-Team members and GMs into a matrix, which is then used to stack-rank all technical hiring requests based on squad-level priorities.",NO,Rafael Silva,3. Mature,MTeam,People Manager - M5+,(1) Discover and apply for a position,N/A,Sheets,# openings prioritized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sheets,Automated,,,,Monthly,TA Monitoring,% BUs/Building Blocks prioritized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA Monitoring,Automated,,,,Daily,N/A,N/A,,,116,,,116,0.06,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
Talent Acquistion,License to Recruit,"Lack of a scalable mechanism that could prepare Nubankers to become effective interviewers in hiring processes, especially when assessing for Values",Learning path that allows Nubankers to become official interviewers by calibrating on the understanding of our hiring process and providing structured interview guides to ensure we hire people who are likely to thrive in our culture,NO,Júlia Fantini,2. Growth,All Nubankers,All Nubankers,(1) Discover and apply for a position,(3) Perform my role,LearnUpon,Training Effectiveness Score Target: 90% ≥ 4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LearnUpon,N/A,,,,Monthly,N/A, % of active (engaged) interviewers who have completed the LTR | Target 100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA Monitoring (QOE - GoodTime+LearnUpon+HTC),Automated,Low Effort,,,Monthly,TA Monitoring,LTR Completion rate,,,96,,,96,0.05,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
Talent Acquistion,Talent Newsletter,"Lack of a structured system for continuous engagement with external talent — both potential candidates and alumni — leading to low contact frequency, decreased interest over time, and lower conversion in recruitment processes","Revamp the current tool to serve as a talent relationship platform, with regular content delivery (such as newsletters), monitoring of engagement metrics (e.g., open rates and click-through rates), and encouraging applications when relevant opportunities arise.",NO,Alexandre Araujo,3. Mature,New Hires,Ex-Nubankers,(1) Discover and apply for a position,(7) Return to Nubank,Email,CTR (Click-through Rate): the percentage of newsletter recipients who click on at least one link in the newsletter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gem Platform,Automated,,,,Monthly,Gem Platform,"Newsletter-to-Pipeline (absolute count): Number of newsletter-engaged people who became active candidates in the recruitment pipeline within the month. This represents the absolute count of engaged candidates who entered the pipeline, not a conversion percentage",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gem Platform,Automated,,,,Monthly,N/A,N/A,0,0,96,0,0,96,0.05,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
Talent Acquistion,Gem,Dispersion of several Google Sheets mappings instead of a centralized and up-to-date platform to do so,"Talent sourcing, mapping & outreach platform",NO,Ana Ribeiro,3. Mature,P&C: Talent,N/A,(1) Discover and apply for a position,N/A,Gem,# Mapped Prospects,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LinkedIn,Automated,,,,Weekly,Gem Platform,% Sourcing Conversion Rate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gem,Automated,,,,Monthly,N/A,N/A,0,0,55,0,0,55,0.03,TRUE,Room for improvement,Room for improvement,Already Reviewed,Already Reviewed
Talent Acquistion,GoodTime,Lack of a centralized and scalable platform that enables TA to schedule hundreds of interviews per day,Interview scheduling platform,NO,Renata Mojola,3. Mature,P&C: Talent,All Nubankers,(1) Discover and apply for a position,N/A,GoodTime,# interviews scheduled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,GoodTime Platform,Automated,Medium Effort,,,Monthly,TA Monitoring,% Interviews completed as planned,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,GoodTime,Automated,Low Effort,,,Weekly,GoodTime,N/A,0,0,100,0,0,100,0.05,TRUE,Room for improvement,Room for improvement,Already Reviewed,Already Reviewed
Talent Acquistion,Learning Agility Executive Assessment,Inexistence of a standardized and scientifically-proven assessment to measure the learning agility capabilities of potential new executive-level hires,Standardized assessment text for executive-level candidates powered by KornFerry,NO,Carolina Frederico,2. Growth,MTeam,New Hires,(1) Discover and apply for a position,N/A,Korn Ferry portal,Confidence score of hiring decision,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Korn Ferry Platform,Manual,Medium Effort,Low tracking frequency,"Currently, we don’t collect this metric. We would need to create a survey to capture broader decision confidence in the executive hiring process.",Per Session Delivered,In a survey to be created,Post-hire attrition rate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Visier,Automated,Low Effort,Low tracking frequency,"we have the 90-day Rehire survey , but we have a low response rate.",Per Session Delivered,90-day Rehire survey,N/A,,,40,,,40,0.02,FALSE,Room for improvement,Room for improvement,Already Reviewed,Already Reviewed
Talent Acquistion,HackerRank,"Providing technical assessments at scale, some of which leverage auto-grading features","HackerRank is a technical assessment platform that enables the applicaiton at scale of standardized tests with structured evaluation criteria. It helps us identify qualified candidates faster, reduce bias, and streamline the hiring processes.",NO,Rafael Silva,3. Mature,P&C: Talent,"People Manager - All, All Nubankers, New Hires, Intern, Nubies",(1) Discover and apply for a position,N/A,HackerRank,Tests reply rate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HackerRank,Manual,,,,On demand,Greenhouse,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,Sheets,Credits used (27K cap/year). Monitored extracting data from HackerRank manually and inputting it in a sheet.,,,30,,,30,0.02,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
Talent Acquistion,VET,"VET (candidate background checks) address the risk of hiring individuals with undisclosed criminal records, or other red flags that could pose legal, security, or reputational risks to Nubank","Semi-automated background checks where candidates submit their information, which is then routed based on hiring country. External vendors perform criminal record and other checks, while internal teams perform fraud history reviews. Once completed, the status is updated in the ATS to inform TA if it’s safe to proceed or if they should seek additional support.",YES,Rafael Silva,3. Mature,All Nubankers,"People Manager - All, All Nubankers, New Hires",(1) Discover and apply for a position,N/A,VET Portal (CO) / VET Sheets (BR/MX),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,# blocked hires due to background checks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VET Portal / VET Sheet,Manual,,,,Quarterly,Sheets,N/A,,,192,,,192,0.10,TRUE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PJC,Nucleo,"The lack of a central platform affects Nubankers in their efforts to learn what's needed to perform in their roles, leading to inefficiencies in scaling operational knowledge across the company","Nucleo is a learning platform that enables the scale of Nubank knowledge by organizing, curating, and delivering relevant content for onboarding and growth",NO,Liliane Takemoto,3. Mature,All Nubankers,N/A,(3) Perform my role,(4) Develop myself and grow,Degreed + LearnUpon,% nubankers with more than 1 training completed per month,30%,20%,17%,21%,17%,19%,15%,18%,22%,,,,,Degreed,Manual,,,,Monthly,BigQuery,N/A,0.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Manual,,,,Monthly,BigQuery,N/A,760,20,0,0,0,780,0.41,TRUE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
